Dataset,Technique,Neighbors,Value
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,2,0.023015873015873017
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,3,0.02962962962962963
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,4,0.04007936507936508
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,5,0.04888888888888878
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,6,0.05820105820105821
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,7,0.06689342403628133
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,8,0.07658730158730159
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,9,0.08201058201058224
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,10,0.08730158730158769
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,11,0.09249639249639283
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,12,0.0992063492063493
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,13,0.10415140415140464
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,14,0.10941043083900216
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,15,0.11142857142857189
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,16,0.11587301587301588
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,17,0.11951447245564956
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,18,0.12345679012345766
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,19,0.12715121136173851
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,20,0.1319047619047617
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,1,0.0
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,2,0.0031847133757961785
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,3,0.004246284501061571
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,4,0.004777070063694267
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,5,0.007006369426751594
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,6,0.00875796178343949
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,7,0.009781619654231124
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,8,0.010947452229299362
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,9,0.011677282377919304
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,10,0.012579617834394888
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,11,0.013752171395483495
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,12,0.014596602972399148
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,13,0.01678098971092599
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,14,0.017174704276615074
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,15,0.01889596602972396
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,16,0.021894904458598725
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,17,0.022573997751966963
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,18,0.024681528662420307
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,19,0.026651022460610057
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,RWordle-L,20,0.028901273885350413
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,1,0.004777070063694267
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,2,0.006369426751592357
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,3,0.015392781316348194
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,4,0.01711783439490446
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,5,0.02229299363057323
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,6,0.02574309978768575
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,7,0.02866242038216557
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,8,0.030055732484076433
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,9,0.032554847841471966
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,10,0.03391719745222933
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,11,0.0379270411117545
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,12,0.041268577494692094
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,13,0.044708476237138556
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,14,0.0489080982711558
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,15,0.05127388535031838
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,16,0.054538216560509556
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,17,0.057605844885725
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,18,0.061482661004954274
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,19,0.06570566543747929
ex-size[628]-dense_groups[0]-number_groups[4]-aspect_ratio[3].data,ProjSnippet,20,0.07046178343949042
